Date,Close,High,Low,Open,Volume,Stock
2020-01-02,72.3338851928711,72.39409318664748,71.09119131937346,71.34406195339083,135480400,AAPL
2020-01-03,71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800,AAPL
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200,AAPL
2020-01-07,71.86183166503906,72.46631471524569,71.64267376172208,72.21103349810856,108872000,AAPL
2020-01-08,73.01785278320312,73.31889277543256,71.56563615467269,71.56563615467269,132079200,AAPL
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400,AAPL
2020-01-10,74.73738098144531,75.3009342510977,74.23645372460896,74.80241031619431,140644800,AAPL
2020-01-13,76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000,AAPL
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400,AAPL
2020-01-15,74.98062896728516,75.98249090201921,74.54953765831824,75.10345563091921,121923600,AAPL
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,AAPL
2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400,AAPL
2020-01-21,76.24017333984375,76.8302072165908,76.10289736234121,76.38948797518701,110843200,AAPL
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,AAPL
2020-01-23,76.88076782226562,76.96023911310208,76.01858552983758,76.56527863051073,104472000,AAPL
2020-01-24,76.65922546386719,77.86819933392093,76.46896614550444,77.12644008388187,146537600,AAPL
2020-01-27,74.40504455566406,75.08418516629278,73.42485661478304,74.67236453066312,161940000,AAPL
2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000,AAPL
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,AAPL
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200,AAPL
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400,AAPL
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,AAPL
2020-02-04,76.78924560546875,76.97950484657014,75.53210291102174,75.93669870128832,136616400,AAPL
