Date,Close,High,Low,Open,Volume,Stock,Year,Month,Quarter,Day,Daily_Return,Volatility,MA50,MA200,Cumulative_Return,Avg_Volume_30,Annualized_Volatility,Sharpe_Ratio
2020-10-15,117.08551025390624,117.56079523723751,114.60238025084044,115.15526489684528,112559200,AAPL,2020,10,4,15,-0.0039606930502154025,0.0322514606822384,113.40825073242188,85.72324396133423,1.6186813405876002,170280466.66666666,0.5119760663026821,0.034192101980447705
2020-10-16,115.44625091552734,117.90029026113083,115.24255735409358,117.63839325335096,115393800,AAPL,2020,10,4,16,-0.014000531191469157,0.02883447365728373,113.51150466918945,85.93880578994751,1.5960189419896544,165540273.33333334,0.457733078895695,0.03824398689472648
2020-10-19,112.49754333496094,116.80422116143151,112.18715207359088,116.35803418573154,120639300,AAPL,2020,10,4,19,-0.02554182190571086,0.029204671201713852,113.60593154907227,86.14314031600952,1.5552537104152135,158474676.66666666,0.4636097827268683,0.0377592072531459
2020-10-20,113.98161315917967,115.4074757022461,112.15805784138064,112.71094256212962,124423700,AAPL,2020,10,4,20,0.01319201984526841,0.026472402046127275,113.69870956420898,86.3520413017273,1.5757706482274383,154909913.33333334,0.4202363545234211,0.04165640997533954
2020-10-21,113.36080932617188,115.14555707254408,112.95341481857756,113.1668101796244,89946000,AAPL,2020,10,4,21,-0.005446526117689032,0.02549294113092976,113.84410858154297,86.55953619003296,1.5671881722363799,152010096.66666666,0.4046878945202991,0.04325688538650293
2020-10-22,112.27445220947266,114.49569279996962,111.14927920105526,113.92340448698164,101988000,AAPL,2020,10,4,22,-0.009583180670256652,0.02480729914974559,113.89726303100586,86.7558191871643,1.5521695248375493,149333883.33333334,0.3938036654964654,0.04445245030540958
2020-10-23,111.58576202392578,113.05042420827988,110.84858002778375,112.89522488264528,82572600,AAPL,2020,10,4,23,-0.00613398838287782,0.02470303320753282,113.89784469604493,86.94090402603149,1.5426485350039387,146057626.66666666,0.39214849497661247,0.04464007409135609
2020-10-26,111.595458984375,113.0504192975986,109.49061077367529,110.58668561250266,111850700,AAPL,2020,10,4,26,8.690141352563074e-05,0.024096152440289016,113.90060882568359,87.12519441604614,1.542782593342204,145114313.33333334,0.3825145614630414,0.0457643698676845
2020-10-27,113.0989227294922,113.7585050877902,111.10077943831496,112.0222514181482,92276800,AAPL,2020,10,4,27,0.013472445552893841,0.024217366538111344,113.93926208496094,87.30901853561402,1.563567647830959,142035473.33333334,0.384438775612439,0.045535307521157725
2020-10-28,107.86107635498048,111.96406850952522,107.76408046155812,111.5954811543954,143937800,AAPL,2020,10,4,28,-0.04631208015163413,0.025114908309038106,113.85463226318359,87.47180727005005,1.4911555776021097,141677433.33333334,0.3986868095154273,0.043907993574822245
2020-10-29,111.85735321044922,113.41901126991604,108.83103296967955,108.99593410290058,146129200,AAPL,2020,10,4,29,0.03705022229072363,0.025806570172567017,113.84711502075196,87.65619089126587,1.5464032232223202,140614706.66666666,0.4096666012088973,0.04273118145075081
2020-10-30,105.59133911132812,108.6273541724171,104.4855696692542,107.72527832227132,190272600,AAPL,2020,10,4,30,-0.0560179006500553,0.027236332727204438,113.66446884155273,87.80454824447632,1.4597769610989269,137386963.33333334,0.4323633781295554,0.040488021779967506
2020-11-02,105.50404357910156,107.35669702970988,104.09758457442842,105.83383850866504,122866900,AAPL,2020,11,4,2,-0.0008267300420777834,0.026666963965423014,113.36183670043945,87.94826662063599,1.4585701196304535,134958733.33333334,0.42332492924178083,0.04135248519836526
2020-11-03,107.12390899658205,108.14237704788208,105.46525468419668,106.3673306155269,107624400,AAPL,2020,11,4,3,0.015353586104650097,0.026659661877359596,113.0627456665039,88.10268529891968,1.4809644015518695,132444366.66666667,0.42320901218737705,0.04136381165441518
2020-11-04,111.49846649169922,112.1192490266788,108.97653651830576,110.71279021468384,138235500,AAPL,2020,11,4,4,0.0408364251836324,0.026458922810830947,112.87117584228515,88.27761610031128,1.5414416935354653,132028260.0,0.4200223782966767,0.04167763141945018
